;name;SKU;price;department;sector
90;Meia Infantil Soquete Menino Coloridas e Divertidas Brisk Kit 3 ;1002717961;44.90;moda;calçados-infantis
91;Meia Infantil Soquete Menino Coloridas e Divertidas Brisk Kit 3 ;1002717972;44.90;moda;calçados-infantis
92;CHINELO HAVAIANAS INFANTIL PEPPA PIG BABY 22 ROSA ;1002483747;;moda;calçados-infantis
93;Sandália Melissa Colorê com Laço Preto Menina - Branco - Pimpolho ;1002192884;41.09;moda;calçados-infantis
94;Sandália Infantil Grendene Kids Aranha Barbie Rosa ;1002511238;49.99;moda;calçados-infantis
95;Chinelo de Dedo Infantil Authentic Games Ipanema Preto ;1002691845;39.42;moda;calçados-infantis
96;Chinelo Havaianas Harry Potter Vermelho Apache ;1002372006;49.99;moda;calçados-infantis
97;Tênis Infantil Winipeg Batboy Preto ;1002548389;39.99;moda;calçados-infantis
98;Babuche Minnie ;1002177056;38.00;moda;calçados-infantis
99;Sandália Aranha Transparente Cristal Infantil Menina Charmosinha ;1002727858;39.90;moda;calçados-infantis
100;Sandália Aranha Transparente Cristal Infantil Menina Charmosinha ;1002727860;39.90;moda;calçados-infantis
101;Sandália Aranha Transparente Cristal Infantil Menina Charmosinha ;1002727862;39.90;moda;calçados-infantis
102;Chinelo Havaianas Harry Potter Vermelho Apache ;1002372007;;moda;calçados-infantis
103;Chinelo Infantil Havaianas Top Disney Azul ;1002559745;35.99;moda;calçados-infantis
104;Sapatênis Confort Velcro Rosa ;1002105350;45.98;moda;calçados-infantis
105;Sandália Melissa Colorê Prata ;1002192890;41.09;moda;calçados-infantis
106;Chinelo Infantil Ipanema Mundo Bita Azul ;1002376272;29.99;moda;calçados-infantis
107;Rasteira Infantil Molekinha Nó Preto ;1002103641;39.99;moda;calçados-infantis
108;Sandália Pimpolho Magazine Dourado ;100405796;36.58;moda;calçados-infantis
109;Sapatênis Pimpolho Velcro Azul ;1002105346;45.98;moda;calçados-infantis
110;Sandália Infantil Addan Tiras Rosa ;1002515085;39.99;moda;calçados-infantis
111;Sandália Masculina Trançada ;1002176986;39.90;moda;calçados-infantis
112;Meia Infantil Menina Cano Longo 3/4 Primavera Minicatura ;1002728231;34.90;moda;calçados-infantis
113;Meia Infantil Menina Cano Longo 3/4 Estrela de Cores WorldColors ;1002728128;34.90;moda;calçados-infantis
114;Meia Infantil Menina Cano Longo 3/4 Primavera Minicatura ;1002728234;34.90;moda;calçados-infantis
115;;;;moda;calçados-infantis
116;Meia Infantil Menino Cano Alto Monstrinho WorldColors ;1002727896;34.90;moda;calçados-infantis
117;Meia Infantil Menina Cano Longo 3/4 Estrela de Cores WorldColors ;1002727967;34.90;moda;calçados-infantis
118;Meia Infantil Menina Cano Longo 3/4 Cores WorldColors ;1002727945;34.90;moda;calçados-infantis
119;Meia Infantil Menina Cano Longo 3/4 Jumper de Cores WorldColors ;1002727962;34.90;moda;calçados-infantis
120;Meia Bege Peluciada Infantil Antiderrapante 6 a 12 Meses ;1002671066;30.90;moda;calçados-infantis
121;Meia Rosa Forte Peluciada Infantil Antiderrapante 6 a 12 Meses ;1002671083;30.90;moda;calçados-infantis
122;Meia Rosa Listrada Peluciada Infantil Antiderrapante 6 a 12 Meses ;1002671067;30.90;moda;calçados-infantis
123;Meia Rosa Coração Peluciada Infantil Antiderrapante 6 a 12 Meses ;1002671034;30.90;moda;calçados-infantis
124;Meia Cinza Peluciada Infantil Antiderrapante Coração 6 a 12 Meses ;1002671056;30.90;moda;calçados-infantis
